yearID,PA,hr_rate_diff,bavg_diff,obp_diff,slg_diff
1925-01-01,96226,0.00238697211935452,-0.000173341951007322,-0.0124436455753695,0.00666024928880526
1926-01-01,95139,0.000456274145709892,-0.00166332998435337,-0.013047902252408,-0.0061463084838887
1927-01-01,95571,0.00103447976788714,-0.00365604843624712,-0.0131285668452446,-0.0132407503839818
1928-01-01,95584,0.00260424565716532,0.000285383705494302,0.000381469912105359,-0.000335422703629684
1929-01-01,96322,0.00309570894985336,0.0105206408752282,0.00776834049768088,0.0184232619913968
1930-01-01,97239,0.00431682001829169,0.0157577988233369,0.00962251272104608,0.0272150277690237
1931-01-01,96121,-0.0014331258429109,-0.00170930172836997,-0.00995555035352619,-0.00883451236802918
1932-01-01,96577,-0.000911379067328062,-0.000438553738966285,-0.0181364438183907,-0.00822933053222602
1933-01-01,94615,-0.00279249561469353,-0.00649997355805349,-0.0250556285445098,-0.0279245036721943
1934-01-01,95563,-0.000255633892507356,0.000354260303643827,-0.0180351995908623,-0.00505219811003671
1935-01-01,96202,0.000216886376083201,-0.00264403038567235,-0.020092463689549,-0.0105083494902037
1936-01-01,97884,-0.00281787956130402,-0.0112246808749753,-0.0274355858697198,-0.0348740132033267
1937-01-01,96148,-0.00327139326904134,-0.00952111192754329,-0.0231948194233991,-0.0328222165988983
1938-01-01,95347,-0.00492122589278953,-0.0136581917503435,-0.0290878504201613,-0.0383739728055501
1939-01-01,95902,-0.00275170239880478,-0.00650153941178494,-0.0162691061644753,-0.0215462433250528
1940-01-01,95900,-0.00384825784662442,-0.00785342172942738,-0.0163661497656117,-0.0312980313698674
1941-01-01,96484,-0.00259984408740851,-0.00813202885322772,-0.014881941978199,-0.0276616011730145
1942-01-01,93936,0.000180252684497166,-0.0083298079397045,-0.0106359266671617,-0.0140292015332034
1943-01-01,95072,-0.000868912317431834,0.00834243976300395,0.00269101514780989,0.00600509400722665
1944-01-01,95637,0.00237362435021425,0.000816969910120424,0.00101299771617336,0.0103071295932222
1945-01-01,94788,0.00281837814682012,0.00940341280907558,0.00762110274301775,0.0180444934873521
1946-01-01,95071,-0.00193129714472766,0.000143742847622641,0.000786403990919671,-0.00865204991661722
1947-01-01,95376,0.00427741886847198,0.00976921746603243,0.00503373660005391,0.0259356596868828
1948-01-01,95792,0.00309946735875795,-0.00513212450346984,-0.016583246249206,0.000910035070533333
1949-01-01,96190,0.00352592089752498,-0.000657847827235214,-0.0189016995919774,0.0101898998298927
1950-01-01,96463,0.00308125782612475,-0.00922847785844766,-0.0202847892028616,-0.00145280852750612
1951-01-01,95998,0.00392703723986529,-0.00245648587619679,-0.0101049565464723,0.00831772022430727
1952-01-01,94808,0.0027640702064755,6.92232080862221e-05,-0.00637524708976445,0.00824885481591203
1953-01-01,95411,0.00671014673600655,0.00354723614558095,-0.00118938895142617,0.0281038028776349
1954-01-01,95536,0.00610552745073274,0.00822535485461795,0.0041115801692731,0.0336913589299732
1955-01-01,95025,0.00671374342759207,0.00041572077224572,-0.00791853353248434,0.0258484395458917
1956-01-01,95231,0.00364962853853771,-0.00429790207177588,-0.0193486128515805,0.00693544950645414
1957-01-01,95386,0.00304606745652896,0.00515906235520286,-0.00352711122901728,0.0174908126750721
1958-01-01,94143,0.00245391715158516,0.0074587479071393,0.00602658553428248,0.0220477575398824
1959-01-01,94717,0.00140626249344214,0.00711944651556151,0.00206960091699127,0.0158143786436094
1960-01-01,94771,-0.000761291828071806,-0.000719700304034177,-0.00917861527879532,0.000355713708870997
1961-01-01,109568,0.000685320667708371,0.00613294695117878,-0.0017857411132628,0.0103551942944544
1962-01-01,124540,-0.0015635413776864,0.00597879530419387,0.0012392479122183,-0.00114937628452072
1963-01-01,122336,-0.00424831861995361,-0.00225432052365937,-0.0068384431534782,-0.0159480045109
1964-01-01,122980,-0.00529209272843973,0.00668001210212729,-0.00392655915529094,-0.00768218772096685
1965-01-01,122749,-0.000998195140187206,0.00704850865830864,-8.75158549649702e-05,0.00477051941824874
1966-01-01,121677,-9.86921502803308e-05,0.0159550413312006,0.00778342147370931,0.0151964788993293
1967-01-01,121839,-0.00171526309534421,0.013310516516016,0.00676541034914541,0.0119471394029862
1968-01-01,120816,-0.00369724133930064,0.0130196322655772,0.00250077312047115,0.00195833462036626
1969-01-01,148181,-0.00231455654124707,0.00438192710175034,-0.00190530822930912,-0.000295322118437358
1970-01-01,149312,-0.00111522623872357,0.00827017869137889,0.00723602943167101,0.0131154775170528
1971-01-01,146690,-0.00165197662842824,0.00487789771339675,-0.000932586666004875,0.00226821449430803
1972-01-01,139947,0.00219954745438511,0.00944930477939529,0.00890061842840762,0.0215858128420588
1973-01-01,148777,-6.42505677448529e-06,-0.00494757716826899,-0.00633417465808034,-0.00559725654873305
1974-01-01,148831,-0.00144456598410694,-0.00299646002306503,0.00302226677808931,-0.00471826908025852
1975-01-01,148596,-0.00337638704457663,-0.000719270850713716,-0.000988435555975387,-0.00990973604868939
1976-01-01,147576,-0.000176567231761109,-0.001038758318612,-8.0898066091184e-05,0.000331820416293871
1977-01-01,161518,-0.00145644564396361,-0.00437397444920373,-0.0022366248646582,-0.00869071934430715
1978-01-01,159165,-0.00216140725898723,-0.00701638002908422,-0.00603634270107339,-0.013115323272066
1979-01-01,160357,-0.00400150078243316,-0.00893605999449437,-0.00966791985521775,-0.0235678495978384
1980-01-01,161186,-0.00437260912052583,-0.00975347185990194,-0.0110520966691097,-0.0246268323429509
1981-01-01,105880,-0.00400557684837759,-0.000943485606586081,-0.00133488102798013,-0.00863214464957213
1982-01-01,161089,-0.00637559032234592,-0.00621639150237652,-0.00845937450157891,-0.0296628651386696
1983-01-01,160590,-0.00303534460635112,-0.010154243516076,-0.00554274372797242,-0.0248570363373172
1984-01-01,160538,-0.00545851656388302,-0.0081293144665946,-0.00741222044978585,-0.0284042545231019
1985-01-01,160305,-0.0059143874608848,-0.0090821241057476,-0.00844620951168373,-0.0317778524730777
1986-01-01,160835,-0.00578495532495016,-0.00833855126374189,-0.00792634288538202,-0.027923269124122
1987-01-01,161891,-0.00566122313223931,-0.00432142637405974,-0.00497032573089584,-0.0219777827908731
1988-01-01,159365,-0.00461487595411022,-0.0110298234529304,-0.0140760990094667,-0.0280154589315066
1989-01-01,160016,-0.00144087716835447,-0.0143747809165827,-0.0132691146772344,-0.0185670898746175
1990-01-01,160301,-0.000246969329938045,-0.00267206574905005,-0.00610991350084411,-0.00472369494805558
1991-01-01,160730,-0.00290149786013773,-0.00990203785481508,-0.0120205959600116,-0.0222453801831612
1992-01-01,160516,-0.0033097170795953,-0.00778694202499153,-0.0130135061571761,-0.0167963308155946
1993-01-01,174546,-0.00119230243511301,-0.00296130109462978,-0.0100202119682207,-0.00880214433496296
1994-01-01,124472,-0.00362306691109102,-0.00576668093070798,-0.0122778140671471,-0.0194954015830588
1995-01-01,156691,-0.0028027729309378,-0.00693932598226105,-0.0127468773260926,-0.0194938127824909
1996-01-01,177242,-0.00519354435784928,-0.0146925361639327,-0.0200813365413095,-0.0369747638274071
1997-01-01,175513,-0.00333504298110117,-0.00766463436219494,-0.0068706715860708,-0.0179677803906365
1998-01-01,188257,-0.00271815749280412,-0.00961981161610942,-0.00877538471984768,-0.0213259419252035
1999-01-01,189675,-0.00123261752341802,-0.00623663780818201,-0.00488351277766241,-0.00999226858029595
2000-01-01,190242,-0.000524052291921092,-0.00978775597595277,-0.00699200457373672,-0.0117254403508142
2001-01-01,186961,0.00104748362857717,-0.00550141674303412,-0.00254288232946676,-0.00277583488443423
2002-01-01,186606,-0.00216765718616976,-0.00461754955318483,0.000257712367247809,-0.0141604415439055
2003-01-01,187437,-0.00138825191073912,-0.00575104425834377,-0.0015536895634734,-0.0104035421960081
2004-01-01,188519,-0.00108968876308527,-0.00733192361851648,-0.00487060699384784,-0.0102316284931545
2005-01-01,186274,-0.00204733619290847,-0.00596817541090533,0.000175927809346332,-0.0103097921163045
2006-01-01,188052,-0.000749409132014562,-0.0102932176648414,-0.00548177923907583,-0.00941308301760196
2007-01-01,188598,0.00118776391363213,-0.00462180945241664,-0.00405402146087591,-0.000180418283350525
2008-01-01,187614,0.000173681289321315,-0.00714361842841671,-0.0046034586005827,-0.00713574003341294
2009-01-01,187060,-0.00431049510102391,-0.00780678262881479,-0.00489848167618662,-0.0193488766929039
2010-01-01,185525,-0.00113933357686297,-0.00472815410758848,-0.0037847431303471,-0.00736144887897644
2011-01-01,185218,-0.00316209137944027,-0.00518303214890803,-0.0038913028099668,-0.0166361250569103
2012-01-01,184156,-0.00420873129178598,-0.00168120005448463,-0.00178989999961343,-0.0106687505242367
2013-01-01,184848,-0.0035793274492003,-0.00460186025418219,-0.00540672396387798,-0.0158542479967416
2014-01-01,183906,-0.00136664368353517,-0.00377110345623527,-0.003987949247935,-0.00753347322737946
2015-01-01,183595,-0.00389825732715795,-0.00199632718619824,-0.00193253333863469,-0.015258616829877
2016-01-01,184539,-0.00337374269944012,-0.00299217711406607,0.000978217396257364,-0.0106370201476566
2017-01-01,185252,-0.00256341325342604,-0.00141646521031036,0.00117844870198103,-0.00572121667113112
2018-01-01,185098,-0.00252786595333218,-0.0025989571356187,0.000143692887651536,-0.0121610454204997
2019-01-01,186456,-0.00191437858252481,-0.00182664195326171,0.000127574144047016,-0.00819281300271751
2020-01-01,66471,0.000642753486869971,0.00365068250291883,0.00661051175849497,0.00694244618285966
2021-01-01,181756,-0.00195352017658149,-0.00322694501028345,0.00230713232310104,-0.00785367974771894
2022-01-01,181978,0.00100042410540369,0.00045921791070988,0.00439156363296683,0.00611681224045013
2023-01-01,184008,7.77950129845981e-05,0.00326155437660428,0.00626786299274262,0.00467414820645712
